Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2010-01-04,4.84,4.94,4.66,4.77,4.77,[],None,0.2500000000000008,0.3571428571428587,0.39285714285714046,,0,0.015510948622062981,0.015994183351719996,0.013001486125584813,0.014136221513930194
2010-01-05,4.79,5.37,4.71,5.31,5.31,[],None,0.7878787878787871,0.09090909090909165,0.1212121212121213,,0,0.014598539879588687,0.02380952294403771,0.013930163705983725,0.02404993530292021
2010-01-06,5.19,5.38,5.0,5.09,5.09,['bearish harami'],None,0.2631578947368436,0.49999999999999883,0.23684210526315758,,0,0.021897809819383038,0.023991275027579972,0.01931649367229743,0.02001101487036873
2010-01-07,5.06,5.43,5.05,5.24,5.24,"['bullish engulfing', 'piercing line']",None,0.4736842105263175,0.49999999999999883,0.026315789473683657,,0,0.019525547088949866,0.024900035445291333,0.020245171252696342,0.0227648242561993
2010-01-08,5.27,5.43,5.06,5.14,5.14,['dark cloud cover'],None,0.351351351351351,0.4324324324324327,0.21621621621621634,,0,0.02335766380734189,0.024900035445291333,0.020430906768776125,0.02092895133231225
2010-01-11,5.13,5.23,4.94,5.04,5.04,[],None,0.31034482758620635,0.34482758620689835,0.3448275862068953,,0,0.020802919328413882,0.021264993774445906,0.018202080575818735,0.01909307840842521
2010-01-12,5.06,5.15,4.96,5.08,5.08,['bullish harami'],None,0.10526315789473906,0.3684210526315797,0.5263157894736813,,0,0.019525547088949866,0.019810977106107713,0.0185735516079783,0.019827427577980034
2010-01-13,5.12,5.5,5.02,5.48,5.48,[],None,0.75,0.04166666666666574,0.20833333333333426,,0,0.02062043757991902,0.026172300030087248,0.019687964704456995,0.027170919273528202
2010-01-14,5.46,5.71,5.41,5.59,5.59,[],None,0.43333333333333324,0.4000000000000006,0.16666666666666619,,0,0.026824817028744216,0.02998909378447498,0.026931649831568538,0.029190379489803936
2010-01-15,5.64,5.84,5.43,5.5,5.5,"['shooting star', 'dark cloud cover']",None,0.3414634146341454,0.48780487804878075,0.1707317073170738,,0,0.03010948850165167,0.03235187087052452,0.02730312086372809,0.027538093858305607
2010-01-19,5.5,5.73,5.5,5.64,5.64,[],None,0.6086956521739105,0.39130434782608947,0.0,,0,0.02755474402272365,0.03035259795155952,0.02860326947628658,0.030108315951747455
2010-01-20,5.65,5.89,5.61,5.74,5.74,['inverse hammer'],None,0.3214285714285717,0.535714285714285,0.14285714285714332,,0,0.03029197025014653,0.03326063128823588,0.0306463601531642,0.031944188875634494
2010-01-21,5.88,5.96,5.42,5.46,5.46,"['bearish engulfing', 'dark cloud cover']",None,0.7777777777777776,0.14814814814814828,0.07407407407407414,,0,0.034489050465528276,0.03453289587303178,0.02711738534764832,0.026803744688750783
2010-01-22,5.48,5.52,5.11,5.24,5.24,[],None,0.5853658536585382,0.0975609756097542,0.31707317073170765,,0,0.02718978052573394,0.02653580419717179,0.02135958434917505,0.0227648242561993
