Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,7.116786,7.152143,6.876786,6.958571,6.013175,1079178800
2008-01-03,6.978929,7.049643,6.881786,6.961786,6.015953,842066400
2008-01-04,6.837500,6.892857,6.388928,6.430357,5.556723,1455832000
2008-01-07,6.473214,6.557143,6.079643,6.344285,5.482346,2072193200
2008-01-08,6.433571,6.516428,6.100000,6.116071,5.285137,1523816000
2008-01-09,6.117857,6.410714,6.010714,6.407143,5.536663,1813882000
2008-01-10,6.342143,6.464286,6.264643,6.357857,5.494074,1482975200
2008-01-11,6.285714,6.351786,6.071429,6.167500,5.329578,1232285600
2008-01-14,6.340000,6.407857,6.256072,6.385000,5.517528,1100450400
2008-01-15,6.347143,6.400714,5.880714,6.037143,5.216932,2343278000
2008-01-16,5.901072,6.036071,5.596428,5.701428,4.926827,2213845200
2008-01-17,5.768214,5.905715,5.657857,5.746071,4.965405,1757859600
2008-01-18,5.775357,5.919643,5.700357,5.762857,4.979911,1724343600
2008-01-22,5.287857,5.713572,5.214286,5.558571,4.803378,2434754000
2008-01-23,4.863929,5.000000,4.505000,4.966786,4.291995,3372969600
2008-01-24,4.999643,5.025000,4.714643,4.842857,4.184903,2005866800
2008-01-25,4.963929,4.967500,4.628929,4.643214,4.012383,1554739200
2008-01-28,4.577143,4.757143,4.516071,4.643214,4.012383,1474844000
2008-01-29,4.683928,4.742500,4.608929,4.697857,4.059604,1099982800
2008-01-30,4.691786,4.837500,4.642857,4.720714,4.079355,1243051600
2008-01-31,4.623214,4.880357,4.621428,4.834286,4.177496,1345674400
2008-02-01,4.865714,4.878214,4.720714,4.776786,4.127809,1010744000
2008-02-04,4.793214,4.853571,4.693572,4.701786,4.062996,899234000
2008-02-05,4.658214,4.785714,4.603571,4.620000,3.992323,1141042000
2008-02-06,4.672500,4.711429,4.348928,4.357143,3.765178,1573272400
2008-02-07,4.284643,4.456429,4.188214,4.330000,3.741722,2083331600
2008-02-08,4.360000,4.489286,4.342857,4.481429,3.872578,1355972800
2008-02-11,4.571786,4.642143,4.542857,4.623214,3.995101,1201432400
2008-02-12,4.667857,4.678571,4.415000,4.459286,3.853443,1225980000
2008-02-13,4.524286,4.635000,4.486786,4.621428,3.993556,968534000
2008-02-14,4.621428,4.671429,4.536071,4.552143,3.933685,954097200
2008-02-15,4.509643,4.538571,4.430714,4.451071,3.846345,901300400
2008-02-19,4.499643,4.526786,4.337143,4.363572,3.770733,1005046000
2008-02-20,4.364286,4.450000,4.345714,4.422143,3.821348,967439200
2008-02-21,4.501786,4.516786,4.316429,4.340714,3.750981,938114800
2008-02-22,4.374286,4.375357,4.138214,4.266428,3.686789,1529878000
2008-02-25,4.235357,4.291786,4.166429,4.276429,3.695430,1256774400
2008-02-26,4.201428,4.324643,4.122857,4.255357,3.677221,1504888000
2008-02-27,4.222500,4.394643,4.217500,4.391428,3.794806,1475138000
2008-02-28,4.542857,4.721428,4.491786,4.639643,4.009298,1618254400
2008-02-29,4.617500,4.650357,4.457143,4.465000,3.858382,1255480800
2008-03-03,4.444286,4.499286,4.214286,4.347500,3.756845,1593043200
2008-03-04,4.356786,4.460000,4.300000,4.450714,3.846035,1785383600
2008-03-05,4.413571,4.469285,4.366071,4.446072,3.842025,1221836000
2008-03-06,4.450357,4.553571,4.314643,4.318929,3.732156,1473698800
2008-03-07,4.300357,4.392143,4.251786,4.366071,3.772892,1230462800
2008-03-10,4.356429,4.409286,4.263214,4.274643,3.693887,999588800
2008-03-11,4.432143,4.552857,4.357143,4.548214,3.930290,1163943200
2008-03-12,4.537143,4.595714,4.470357,4.501071,3.889550,1059629200
2008-03-13,4.432143,4.625000,4.392857,4.569286,3.948498,1262102800
2008-03-14,4.638571,4.653572,4.435714,4.521786,3.907453,1156640800
2008-03-17,4.376786,4.592500,4.376786,4.526072,3.911157,1072598800
2008-03-18,4.613572,4.750000,4.595357,4.743571,4.099106,1205120000
2008-03-19,4.754286,4.796072,4.631072,4.631072,4.001890,1010536800
2008-03-20,4.682857,4.760357,4.613572,4.759643,4.112994,908787600
2008-03-24,4.786071,5.030357,4.772857,4.983214,4.306192,1066920400
2008-03-25,4.998571,5.110714,4.904643,5.035000,4.350941,1052391200
2008-03-26,5.031072,5.205000,5.022857,5.180714,4.476858,1182084400
2008-03-27,5.176786,5.189643,4.999643,5.008929,4.328411,999829600
2008-03-28,5.064286,5.166071,5.057143,5.107500,4.413589,714610400
2008-03-31,5.116786,5.203928,5.090000,5.125000,4.428713,768065200
2008-04-01,5.225000,5.345000,5.128929,5.340357,4.614812,1032567200
2008-04-02,5.313571,5.400000,5.208929,5.267500,4.551853,1044968400
2008-04-03,5.252143,5.486786,5.250000,5.414643,4.679005,1051568000
2008-04-04,5.435357,5.525357,5.383929,5.467143,4.724372,854417200
2008-04-07,5.576071,5.703214,5.539643,5.567500,4.811096,1158326400
2008-04-08,5.483929,5.587500,5.440000,5.458571,4.716967,1014294400
2008-04-09,5.475357,5.496071,5.373571,5.408571,4.673759,873398400
2008-04-10,5.397500,5.550714,5.378572,5.519643,4.769741,955763200
2008-04-11,5.454286,5.475000,5.228571,5.255000,4.541052,1210076000
2008-04-14,5.241786,5.330357,5.162143,5.277857,4.560803,845087600
